"","longitude","latitude","vsn","address"
"1",-87.627678,41.878377,"004","State St & Jackson Blvd Chicago IL"
"2",-87.616055,41.858136,"006","18th St & Lake Shore Dr Chicago IL"
"3",-87.6307578,41.9262614,"00A","Lake Shore Drive & Fullerton Ave Chicago IL"
"4",-87.590228,41.810342,"00D","Cornell & 47th St Chicago IL"
"5",-87.710543,41.866349,"010","Homan Ave & Roosevelt Rd Chicago IL"
"6",-87.6277685,41.8832053,"014","State St & Washington St Chicago IL"
"7",-87.586456,41.7806,"018","Stony Island Ave & 63rd St Chicago IL"
"8",-87.71299,41.751238,"01C","7801 S Lawndale Ave Chicago IL"
"9",-87.675825,41.852179,"01D","Damen Ave & Cermak Chicago IL"
"10",-87.624179,41.736314,"01F","State St & 87th Chicago IL"
"11",-87.683396,41.768319,"020","Western Ave & 69th St Chicago IL"
"12",-87.685806,41.857797,"025","Western Ave & 18th St Chicago IL"
"13",-87.684862,41.8303847,"028","Western Blvd & 35th St Chicago IL"
"14",-87.57535,41.722457,"02A","Jeffrey Ave & 95th St Chicago IL"
"15",-87.614529,41.736495,"02C","Martin Luther King Dr & 87th St Chicago IL"
"16",-87.679076,41.965089,"02D","Damen Ave & Wilson Ave Chicago IL"
"17",-87.655523,41.994597,"02F","Sheridan Rd & Granville Ave Chicago IL"
"18",-87.646133,41.832579,"030","Halsted St & 34th St Chicago IL"
"19",-87.671773,41.882304,"032","Wood St & Warren Blv Chicago IL"
"20",-87.681052,41.912681,"034","Milwaukee Ave & Wabansia Ave Chicago IL"
"21",-87.614732,41.743814,"037","Martin Luther King Dr & 83rd St Chicago IL"
"22",-87.675311,41.831827,"038","Damen Ave & Archer Chicago IL"
"23",-87.69068,41.94672,"039","Campbell Ave & Addison St Chicago IL"
"24",-87.706042,41.878372,"03C","Kedzie Ave & 5th Ave Chicago IL"
"25",-87.647431,41.88431,"03D","Halsted St & Randolph St Chicago IL"
"26",-87.683048,41.914202,"03E","606 Path & Milwaukee Ave Chicago IL"
"27",-87.72566,41.880732,"03F","Pulaski Rd & Madison St Chicago IL"
"28",-87.54045,41.741148,"040","Lake Shore Drive & 85th St Chicago IL"
"29",-87.686359,41.881172,"041","Western Ave & Madison St Chicago IL"
"30",-87.677766,41.921405,"048","Damen Ave & Webster Chicago IL"
"31",-87.685557,41.846579,"04C","Western Ave & 25th St Chicago IL"
"32",-87.682414,41.913583,"04D","Leavitt St & Milwaukee Ave Chicago IL"
"33",-87.673061,41.846897,"04E","Damen Ave & Chicago International Produce Market Chicago IL"
"34",-87.666144,41.857775,"04F","Ashland Ave & 18th St Chicago IL"
"35",-87.6674,41.903335,"050","Ashland Ave & Division St Chicago IL"
"36",-87.605288,41.751295,"051","Cottage Grove Ave & 79th St Chicago IL"
"37",-87.664421,41.779369,"052","Ashland & 63rd St Chicago IL"
"38",-87.656427,41.857959,"053","Racine Ave & 18th St Chicago IL"
"39",-87.688258,41.946731,"054","Western Ave & Addison St Chicago IL"
"40",-87.761072,41.923996,"056","Long Ave & Fullerton Ave Chicago IL"
"41",-87.71299,41.751142,"057","7801 S Lawndale Ave Chicago IL"
"42",-87.607817,41.838618,"05A","Fort Dearborn Dr & 31st St Chicago IL"
"43",-87.726064,41.895355,"05D","Pulaski Rd & Chicago Ave Chicago IL"
"44",-87.666306,41.866786,"062","Ashland Ave & Roosevelt Rd Chicago IL"
"45",-87.665048,41.808594,"067","Ashland Ave & 47th Chicago IL"
"46",-87.649518,41.910922,"06A","Clybourn Ave & North Ave Chicago IL"
"47",-87.664343,41.786756,"06B","Ashland Ave & 59th St Chicago IL"
"48",-87.598677,41.791329,"06D","Hutchinson Commons UChicago Chicago IL"
"49",-87.59913,41.78843,"06E","UChicago Chicago IL"
"50",-87.71299,41.751142,"070","7801 S Lawndale Ave Chicago IL"
